ID	Dream	cond_broad	Interactions	POS_int	NEG_int	NEUT_int	sos_int_prev_day	Known	Role	Strangers	Known_family	Known_Spouse	Known_Friends
27	334	E	3	0	0	1	5	3	1	0	0	0	3
27	335	E	10	0	1	7	5	8	0	4	0	0	8
3	341	E	0	0	0	0	4	0	0	0	0	0	0
7	342	E	8	2	3	3	4	3	0	5	0	0	3
28	343	E	8	1	2	2	3	3	0	7	0	0	3
3	344	E	5	1	0	3	3	2	0	4	0	0	2
7	345	E	5	0	1	4	2	6	0	0	0	0	6
27	346	E	1	0	0	1	3	1	0	1	0	0	1
27	347	E	6	2	2	2	3	6	1	3	0	0	6
28	348	E	0	0	0	0	4	0	0	0	0	0	0
7	350	E	2	0	0	1	2	2	0	0	0	1	1
7	351	E	7	0	0	5	4	8	0	3	0	0	8
27	352	E	1	0	0	0	3	1	0	0	0	0	1
27	353	E	4	2	0	2	3	5	0	0	3	0	2
27	354	E	3	1	0	0	3	2	1	1	0	0	2
28	355	E	0	0	0	0	5	0	0	0	0	0	0
7	356	E	3	0	0	3	3	3	2	1	0	0	3
28	357	E	0	0	0	0	4	0	0	0	0	0	0
27	362	E	1	0	0	1	3	0	0	1	0	0	0
27	363	E	1	0	0	0	5	1	0	0	0	0	1
7	364	E	1	0	0	1	5	0	0	2	0	0	0
30	365	E	4	0	0	3	3	1	0	3	0	0	1
28	366	E	4	0	0	3	5	0	3	1	0	0	0
3	368	E	0	0	0	0	4	0	0	0	0	0	0
3	371	E	8	1	0	5	3	8	1	2	0	0	8
30	372	E	7	3	0	2	3	0	8	4	0	0	0
30	373	E	6	1	2	2	2	2	0	6	2	0	0
30	374	E	6	1	0	3	4	6	3	3	0	0	6
30	375	E	2	0	0	2	5	2	0	2	0	0	2
30	376	E	2	0	0	0	4	0	0	2	0	0	0
11	378	E	1	0	0	1	3	1	0	1	0	0	1
11	379	E	5	1	2	2	3	6	0	1	0	0	6
11	381	E	2	0	0	1	3	0	0	2	0	0	0
11	382	E	0	0	0	0	1	0	0	0	0	0	0
5	389	E	11	2	1	6	4	3	8	0	0	3	0
5	390	E	12	1	3	6	3	8	0	9	3	0	5
5	391	E	7	4	1	0	3	6	0	0	0	6	0
5	392	E	15	3	0	9	3	17	0	2	16	0	1
28	97	I	2	0	0	1	5	0	0	3	0	0	0
